No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
63,henri matisse artist,18100,8,848,$0.24,60,55,https://www.posterlounge.co.uk/artists/henri-matisse/
64,the laughing cavalier,18100,16,204,$0.09,28,37,https://www.posterlounge.co.uk/p/531195.html
65,prints and poster,18100,4,1192,$2.29,100,58,https://www.posterlounge.co.uk/
66,print and posters,18100,2,5502,$2.23,100,57,https://www.posterlounge.co.uk/
67,casas,18100,3,1761,$2.01,4,58,https://www.posterlounge.co.uk/artists/casas-i-carbo/
68,artist henri matisse,18100,35,38,$0.24,60,54,https://www.posterlounge.co.uk/artists/henri-matisse/
69,posters prints,18100,5,1192,$2.44,100,55,https://www.posterlounge.co.uk/
70,dream catcher,18100,72,38,$0.34,100,30,https://www.posterlounge.co.uk/wall-art/dreamcatchers/
71,online photography prints,18100,102,38,$2.39,100,65,https://www.posterlounge.co.uk/wall-art/photography/
72,hay wain painting,18100,36,38,$0.15,63,41,https://www.posterlounge.co.uk/p/126920.html
73,bosch artist,18100,5,2932,$0.23,35,55,https://www.posterlounge.co.uk/artists/hieronymus-bosch/
74,poster and prints,18100,2,2932,$2.23,100,62,https://www.posterlounge.co.uk/
75,paintings of paintings,18100,34,31,$1.37,98,45,https://www.posterlounge.co.uk/wall-art/painting/
76,black and white,14800,17,111,$0.72,5,58,https://www.posterlounge.co.uk/wall-art/black-and-white/
77,the last judgement,14800,52,31,$0.13,13,77,https://www.posterlounge.co.uk/p/489676.html
78,karl blossfeldt,14800,18,87,$0.95,4,24,https://www.posterlounge.co.uk/artists/karl-blossfeldt/
79,paintings,18100,57,31,$1.31,100,45,https://www.posterlounge.co.uk/wall-art/painting/
80,art for painting,18100,4,1440,$1.31,100,70,https://www.posterlounge.co.uk/wall-art/painting/
81,turner,14800,69,31,$0.46,11,86,https://www.posterlounge.co.uk/artists/joseph-william-turner/
82,toulouse lautrec,14800,53,31,$0.28,10,62,https://www.posterlounge.co.uk/artists/henri-de-toulouse-lautrec/
83,the last judgment,14800,79,31,$0.15,12,84,https://www.posterlounge.co.uk/p/489676.html
84,last judgment,14800,102,31,$0.13,13,85,https://www.posterlounge.co.uk/p/489676.html
85,goya,14800,26,35,$0.35,3,68,https://www.posterlounge.co.uk/artists/francisco-jose-de-goya/
86,modern artwork,14800,10,309,$0.51,100,76,https://www.posterlounge.co.uk/wall-art/contemporary/
87,monet lilies,12100,10,309,$0.25,100,49,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
88,wall prints,12100,9,309,$0.96,100,64,https://www.posterlounge.co.uk/
89,world map with pictures,9900,27,26,$0.11,100,84,https://www.posterlounge.co.uk/wall-art/posters/world-maps/
90,munch,12100,30,29,$0.59,3,67,https://www.posterlounge.co.uk/artists/edvard-munch/
91,magnolia painting,12100,5,3678,$0.25,100,30,https://www.posterlounge.co.uk/wall-art/magnolia/
92,artist paul klee,12100,6,797,$0.34,52,54,https://www.posterlounge.co.uk/artists/paul-klee/
93,art print,12100,2,1960,$1.13,100,74,https://www.posterlounge.co.uk/wall-art/
94,paul klee artist,12100,7,567,$0.28,73,57,https://www.posterlounge.co.uk/artists/paul-klee/
95,constable artist,12100,54,25,$0.39,9,67,https://www.posterlounge.co.uk/artists/john-constable/
96,charles rennie mackintosh,12100,84,25,$0.31,16,51,https://www.posterlounge.co.uk/artists/charles-rennie-mackintosh/
97,prints for wall,12100,11,181,$0.83,100,82,https://www.posterlounge.co.uk/
98,artist constable,8100,28,29,$0.67,11,55,https://www.posterlounge.co.uk/artists/john-constable/
99,world maps near me,12100,20,52,$0.10,1,61,https://www.posterlounge.co.uk/wall-art/posters/world-maps/
100,saturn painting goya,12100,7,408,$0.11,6,44,https://www.posterlounge.co.uk/p/129053.html
101,mondrian,12100,43,25,$0.30,55,58,https://www.posterlounge.co.uk/artists/piet-mondrian/
102,wall print,12100,7,408,$0.89,100,59,https://www.posterlounge.co.uk/wall-art/
103,paintings van gogh,12100,12,181,$0.23,100,57,https://www.posterlounge.co.uk/artists/vincent-van-gogh/
104,waterlily paintings,12100,10,408,$0.20,100,53,https://www.posterlounge.co.uk/wall-art/canvas-prints/water-lilies/
105,artwork prints,12100,4,797,$1.30,100,73,https://www.posterlounge.co.uk/
106,artwork print,14800,1,3678,$1.40,100,85,https://www.posterlounge.co.uk/
107,art prints,12100,8,309,$1.30,100,80,https://www.posterlounge.co.uk/
108,water lilies claude monet,12100,12,309,$0.25,100,46,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
109,monet water lilies painting,12100,37,25,$0.25,100,46,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
110,francisco goya saturn,12100,24,27,$0.11,6,48,https://www.posterlounge.co.uk/p/129053.html
111,art printing,12100,73,25,$1.30,100,52,https://www.posterlounge.co.uk/
112,water lilies monet,12100,6,797,$0.20,100,58,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
113,water lilies painting claude monet,12100,10,408,$0.25,100,49,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
114,water lily paintings monet,12100,6,567,$0.25,100,56,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
115,waterlily by monet,12100,10,309,$0.25,100,50,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
116,modern art,14800,32,25,$0.51,100,84,https://www.posterlounge.co.uk/wall-art/contemporary/
117,claude monet water lilies painting,12100,11,408,$0.25,100,49,https://www.posterlounge.co.uk/wall-art/posters/water-lilies/
118,artwork,12100,10,181,$0.78,100,86,https://www.posterlounge.co.uk/
119,paul klee,12100,11,238,$0.34,52,54,https://www.posterlounge.co.uk/artists/paul-klee/
120,world map near me,12100,41,25,$0.10,1,69,https://www.posterlounge.co.uk/wall-art/posters/world-maps/
121,printable wall prints,12100,23,29,$0.83,100,25,https://www.posterlounge.co.uk/wall-art/
122,john constable artist,9900,44,25,$0.31,11,67,https://www.posterlounge.co.uk/artists/john-constable/
123,art modern,14800,2,3678,$0.62,98,81,https://www.posterlounge.co.uk/wall-art/contemporary/
124,botticelli birth of venus,12100,5,1177,$0.13,59,49,https://www.posterlounge.co.uk/p/531296.html
125,wall prints printable,12100,33,26,$0.96,100,33,https://www.posterlounge.co.uk/
126,wall art for living room,12100,17,110,$0.57,100,43,https://www.posterlounge.co.uk/wall-art/canvas-prints/living-room/
127,england map liverpool,12100,26,29,$0.17,8,43,https://www.posterlounge.co.uk/p/689258.html
128,van gogh paintings,12100,9,408,$0.19,100,64,https://www.posterlounge.co.uk/artists/vincent-van-gogh/
129,modern artworks,14800,50,25,$0.51,100,68,https://www.posterlounge.co.uk/wall-art/contemporary/
130,john constable,12100,43,25,$0.39,9,56,https://www.posterlounge.co.uk/artists/john-constable/
131,klee artist,12100,8,408,$0.28,73,52,https://www.posterlounge.co.uk/artists/paul-klee/
132,saturn devours his son,12100,22,39,$0.11,6,51,https://www.posterlounge.co.uk/p/129053.html
133,water lily painting,12100,5,1177,$0.20,100,74,https://www.posterlounge.co.uk/wall-art/canvas-prints/water-lilies/
134,artwork printed,12100,16,110,$1.13,100,64,https://www.posterlounge.co.uk/
135,wall painting,9900,17,111,$0.53,100,55,https://www.posterlounge.co.uk/wall-art/painting/
136,photograph printed on canvas,9900,18,74,$4.75,100,69,https://www.posterlounge.co.uk/wall-art/canvas-prints/
137,henri rousseau,9900,6,652,$0.15,39,40,https://www.posterlounge.co.uk/artists/henri-rousseau/
138,canvas picture prints,9900,23,42,$3.94,100,73,https://www.posterlounge.co.uk/wall-art/canvas-prints/
139,bedroom wall art,9900,1,3009,$0.50,100,39,https://www.posterlounge.co.uk/wall-art/bedroom/
140,canvas printing pictures,9900,22,26,$3.94,100,58,https://www.posterlounge.co.uk/wall-art/canvas-prints/
141,artwork frida kahlo,9900,8,652,$0.25,77,40,https://www.posterlounge.co.uk/artists/frida-kahlo/
142,nighthawks,9900,22,32,$0.37,51,48,https://www.posterlounge.co.uk/p/630510.html
143,hokusai the artist,9900,16,111,$0.43,50,46,https://www.posterlounge.co.uk/artists/katsushika-hokusai/
144,photography print on canvas,9900,84,20,$4.58,100,74,https://www.posterlounge.co.uk/wall-art/canvas-prints/photography/
145,photo prints canvas,9900,42,20,$4.75,100,68,https://www.posterlounge.co.uk/wall-art/canvas-prints/
146,printed canvas pictures,9900,7,253,$4.75,100,74,https://www.posterlounge.co.uk/wall-art/canvas-prints/
147,paintings frida kahlo,9900,2,3009,$0.20,62,42,https://www.posterlounge.co.uk/wall-art/frida-kahlo/
148,frida kahlo artworks,9900,6,963,$0.24,69,44,https://www.posterlounge.co.uk/wall-art/frida-kahlo/
149,monet paintings,9900,5,963,$0.20,100,70,https://www.posterlounge.co.uk/artists/claude-monet/
150,hokusai katsushika,9900,37,20,$0.36,42,56,https://www.posterlounge.co.uk/artists/katsushika-hokusai/
151,modigliani,9900,31,20,$0.26,48,53,https://www.posterlounge.co.uk/artists/amedeo-modigliani/
152,wall art for bedroom,4400,1,3009,$0.45,100,45,https://www.posterlounge.co.uk/wall-art/bedroom/
153,canvas prints of photographs,9900,108,20,$5.73,100,67,https://www.posterlounge.co.uk/wall-art/canvas-prints/
154,canvas print of photograph,9900,36,20,$4.75,100,80,https://www.posterlounge.co.uk/wall-art/canvas-prints/
155,artist mondrian,9900,20,55,$0.49,18,45,https://www.posterlounge.co.uk/artists/piet-mondrian/
156,louis wain,9900,33,20,$0.29,21,50,https://www.posterlounge.co.uk/artists/louis-wain/
157,louis wain artist,9900,14,111,$0.29,21,45,https://www.posterlounge.co.uk/artists/louis-wain/
158,canvas photo prints,9900,31,20,$4.58,100,79,https://www.posterlounge.co.uk/wall-art/canvas-prints/
159,piet mondrian,9900,6,652,$0.64,22,61,https://www.posterlounge.co.uk/artists/piet-mondrian/
160,cat picture,9900,58,20,$0.24,100,65,https://www.posterlounge.co.uk/wall-art/cats/
161,monet art,9900,3,3009,$0.20,97,62,https://www.posterlounge.co.uk/artists/claude-monet/
162,hokusai,9900,51,20,$0.36,42,60,https://www.posterlounge.co.uk/artists/katsushika-hokusai/
163,canvas prints from photos,9900,62,20,$4.58,100,60,https://www.posterlounge.co.uk/wall-art/canvas-prints/
164,poster with frame,9900,2,1603,$0.96,100,48,https://www.posterlounge.co.uk/wall-art/posters/
165,mondrian piet,9900,9,464,$0.64,22,48,https://www.posterlounge.co.uk/artists/piet-mondrian/
166,frida kahlo the paintings,9900,11,253,$0.24,69,24,https://www.posterlounge.co.uk/wall-art/frida-kahlo/
167,klimt,9900,9,652,$0.21,98,54,https://www.posterlounge.co.uk/artists/gustav-klimt/
168,artist louis wain,9900,9,334,$0.39,28,49,https://www.posterlounge.co.uk/artists/louis-wain/
169,prints for kitchen,8100,10,159,$0.45,100,38,https://www.posterlounge.co.uk/wall-art/posters/kitchen/
170,bathroom wall art,8100,15,73,$0.38,100,16,https://www.posterlounge.co.uk/wall-art/bathroom/
171,wall sticker wall art,8100,9,207,$0.82,100,50,https://www.posterlounge.co.uk/wall-art/wall-stickers/
172,mucha artist,8100,6,788,$1.51,31,77,https://www.posterlounge.co.uk/artists/alfons-mucha/
173,japanese artworks,8100,70,17,$0.73,100,50,https://www.posterlounge.co.uk/wall-art/canvas-prints/japan/
174,bathroom prints,8100,17,47,$0.41,100,28,https://www.posterlounge.co.uk/wall-art/bathroom/
175,wall sticks,8100,34,17,$0.92,100,38,https://www.posterlounge.co.uk/wall-art/wall-stickers/
176,ernst haeckel,8100,7,533,$1.08,16,54,https://www.posterlounge.co.uk/artists/ernst-haeckel/
177,frames and posters,9900,2,1312,$0.96,100,56,https://www.posterlounge.co.uk/wall-art/posters/
178,artwork japanese,8100,18,45,$0.74,100,40,https://www.posterlounge.co.uk/wall-art/japan/
179,kitchen print,6600,15,60,$0.57,100,43,https://www.posterlounge.co.uk/wall-art/posters/kitchen/
180,alphonse mucha,8100,16,73,$1.51,31,62,https://www.posterlounge.co.uk/artists/alfons-mucha/
181,wall art for the bathroom,8100,8,273,$0.38,100,40,https://www.posterlounge.co.uk/wall-art/bathroom/
182,japan art,8100,77,17,$0.74,100,51,https://www.posterlounge.co.uk/wall-art/canvas-prints/japan/
183,frida kahlo artwork,8100,5,788,$0.30,64,55,https://www.posterlounge.co.uk/artists/frida-kahlo/
184,bathtub print,8100,31,18,$0.41,100,33,https://www.posterlounge.co.uk/wall-art/bathroom/
185,street art,8100,22,60,$1.42,12,86,https://www.posterlounge.co.uk/wall-art/street-art/
186,stickers of wall,8100,42,17,$0.80,100,41,https://www.posterlounge.co.uk/wall-art/wall-stickers/
