No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1703,movie poster design,390,57,0,$0.80,30,70,https://eastendprints.co.uk/categories/film-movie-art-prints
1704,design prints,390,22,1,$1.86,95,65,https://eastendprints.co.uk/
1705,funny prints,390,22,1,$0.42,100,23,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
1706,print of painting,390,4,63,$1.06,100,71,https://eastendprints.co.uk/
1707,wall posters large,390,33,0,$0.95,100,43,https://eastendprints.co.uk/categories/london-art-prints.html
1708,told us,390,37,0,$5.22,1,41,https://eastendprints.co.uk/products/louis-armstrong-told-us-so.html
1709,pictures for room,390,50,0,$0.43,100,60,https://eastendprints.co.uk/categories/bedroom-art-prints
1710,birds artists,390,50,0,$0.19,14,31,https://eastendprints.co.uk/categories/birds
1711,album cover prints,480,3,37,$0.62,100,20,https://eastendprints.co.uk/categories/music-art-prints.html
1712,animal black and white pictures,390,82,0,$0.55,95,41,https://eastendprints.co.uk/categories/art-prints/animal-themed-prints.html
1713,photo art prints,480,74,0,$0.99,100,57,https://eastendprints.co.uk/
1714,yellow printing,390,15,2,$0.65,100,30,https://eastendprints.co.uk/categories/yellow-art-prints
1715,artwork companies,390,5,63,$1.22,85,79,https://eastendprints.co.uk/
1716,classic prints,390,14,3,$0.75,88,55,https://eastendprints.co.uk/categories/vintage
1717,bird artist,390,49,0,$0.19,14,35,https://eastendprints.co.uk/categories/birds
1718,tennis posters,390,44,0,$0.36,100,25,https://eastendprints.co.uk/categories/tennis-art-prints
1719,mid century modern architects,390,72,0,$2.09,2,44,https://eastendprints.co.uk/blog/6-of-the-best-mid-century-modern-interiors-in-the-uk/
1720,london illustration,390,27,0,$1.87,89,35,https://eastendprints.co.uk/categories/london-art-prints.html
1721,line art abstract,390,69,0,$0.79,100,51,https://eastendprints.co.uk/categories/abstract-prints/
1722,frames black and white,390,60,0,$0.71,99,32,https://eastendprints.co.uk/categories/black-and-white-art-prints
1723,retro movie posters,480,60,0,$0.83,100,49,https://eastendprints.co.uk/categories/film-movie-art-prints
1724,prints for above bed,390,21,1,$0.36,100,19,https://eastendprints.co.uk/categories/bedroom-art-prints
1725,uk cheap posters,390,62,0,$1.09,100,45,https://eastendprints.co.uk/categories/london-art-prints.html
1726,picture frames thin,390,43,0,$0.44,100,18,https://eastendprints.co.uk/products/narrow-black-frame.html
1727,rectangle wall art,390,48,0,$0.46,100,28,https://eastendprints.co.uk/
1728,stormtrooper mask,390,33,1,$0.22,100,18,https://eastendprints.co.uk/products/star-wars-helmet-stormtrooper.html
1729,flower market print,390,8,13,$0.52,100,29,https://eastendprints.co.uk/products/broadway-market-flower-market.html
1730,music retro posters,390,11,4,$0.70,100,24,https://eastendprints.co.uk/categories/music-art-prints.html
1731,posters from the 70's,390,2,118,$0.28,94,23,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/70s-revival.html
1732,art movie poster,390,58,0,$0.63,98,79,https://eastendprints.co.uk/categories/film-movie-art-prints
1733,black artists uk,390,3,63,$0.67,11,61,https://eastendprints.co.uk/categories/discover-black-artists.html
1734,floral prints vintage,480,10,7,$0.43,100,20,https://eastendprints.co.uk/categories/floral-art-prints
1735,classical prints,390,30,0,$0.24,56,29,https://eastendprints.co.uk/categories/retro
1736,album artwork prints,210,1,118,$1.01,100,20,https://eastendprints.co.uk/categories/music-art-prints.html
1737,famous cat artwork,390,79,0,$0.21,75,32,https://eastendprints.co.uk/categories/cat-lovers
1738,art print photos,480,67,0,$1.88,100,58,https://eastendprints.co.uk/categories/bestselling
